iter	Passed	Remaining
0	4	4850
1	9	4537
2	13	4541
3	17	4381
4	21	4365
5	27	4604
6	32	4581
7	36	4512
8	40	4435
9	43	4331
10	47	4268
11	51	4242
12	55	4224
13	59	4166
14	63	4147
15	66	4092
16	69	4038
17	73	4004
18	77	3978
19	80	3950
20	84	3918
21	88	3921
22	91	3904
23	95	3880
24	99	3863
25	103	3887
26	107	3871
27	111	3861
28	115	3852
29	119	3849
30	122	3834
31	126	3832
32	130	3827
33	134	3812
34	137	3792
35	141	3779
36	143	3732
37	147	3724
38	150	3719
39	154	3715
40	158	3703
41	160	3653
42	164	3650
43	168	3654
44	171	3644
45	175	3631
46	178	3625
47	182	3613
48	183	3558
49	187	3556
50	191	3555
51	194	3546
52	197	3532
53	201	3527
54	204	3519
55	207	3490
56	210	3483
57	214	3479
58	218	3478
59	221	3474
60	225	3465
61	228	3462
62	232	3454
63	235	3448
64	239	3451
65	243	3449
66	245	3424
67	249	3418
68	253	3415
69	256	3408
70	260	3402
71	263	3393
72	267	3399
73	271	3391
74	274	3384
75	278	3380
76	281	3377
77	285	3377
78	289	3376
79	293	3375
80	297	3373
81	300	3365
82	304	3363
83	306	3343
84	309	3336
85	313	3329
86	317	3332
87	321	3327
88	324	3321
89	327	3316
90	331	3314
91	335	3311
92	337	3288
93	340	3286
94	345	3291
95	349	3287
96	352	3280
97	356	3279
98	359	3272
99	363	3268
100	365	3250
101	369	3252
102	372	3247
103	376	3243
104	380	3240
105	383	3237
106	387	3234
107	391	3232
108	395	3234
109	399	3233
110	403	3232
111	408	3236
112	412	3234
113	416	3235
114	420	3236
115	424	3235
116	428	3235
117	432	3229
118	435	3227
119	439	3226
120	443	3223
121	447	3220
122	450	3215
123	454	3211
124	458	3209
125	461	3204
126	465	3202
127	469	3201
128	473	3198
129	477	3195
130	481	3191
131	486	3198
132	490	3196
133	493	3191
134	498	3191
135	499	3172
136	503	3169
137	507	3167
138	510	3163
139	514	3159
140	517	3155
141	521	3151
142	525	3148
143	528	3144
144	533	3148
145	537	3146
146	541	3143
147	546	3144
148	550	3142
149	551	3123
150	555	3123
151	559	3121
152	563	3119
153	567	3116
154	571	3118
155	575	3114
156	579	3112
157	583	3110
158	587	3109
159	591	3105
160	595	3104
161	599	3100
162	603	3097
163	607	3095
164	612	3099
165	617	3101
166	621	3100
167	626	3102
168	630	3099
169	634	3096
170	636	3088
171	640	3083
172	641	3068
173	645	3066
174	649	3063
175	653	3059
176	657	3054
177	660	3052
178	664	3047
179	668	3043
180	671	3038
181	675	3036
182	679	3032
183	682	3028
184	686	3024
185	690	3021
186	693	3017
187	697	3012
188	700	3007
189	704	3001
190	707	2995
191	710	2991
192	714	2987
193	717	2981
194	720	2976
195	724	2971
196	728	2967
197	731	2962
198	734	2957
199	738	2953
200	742	2950
201	746	2948
202	750	2945
203	753	2940
204	757	2936
205	760	2931
206	764	2928
207	768	2925
208	772	2922
209	776	2922
210	780	2919
211	785	2919
212	789	2915
213	792	2911
214	796	2908
215	800	2905
216	804	2902
217	808	2898
218	810	2889
219	811	2876
220	815	2874
221	820	2873
222	824	2871
223	827	2867
224	831	2864
225	834	2859
226	838	2854
227	841	2849
228	844	2844
229	848	2841
230	853	2840
231	856	2836
232	860	2832
233	864	2829
234	868	2827
235	872	2823
236	876	2820
237	879	2816
238	883	2812
239	886	2808
240	890	2806
241	894	2802
242	898	2798
243	902	2795
244	904	2788
245	908	2785
246	912	2783
247	916	2780
248	920	2777
249	924	2773
250	928	2771
251	932	2769
252	934	2760
253	937	2753
254	941	2749
255	945	2746
256	949	2743
257	952	2740
258	957	2738
259	961	2735
260	965	2733
261	969	2732
262	972	2724
263	976	2721
264	981	2721
265	984	2717
266	989	2716
267	994	2716
268	999	2715
269	1004	2715
270	1009	2714
271	1013	2713
272	1018	2711
273	1022	2709
274	1026	2705
275	1030	2703
276	1034	2699
277	1038	2695
278	1042	2693
279	1046	2692
280	1051	2691
281	1055	2688
282	1059	2685
283	1064	2684
284	1066	2675
285	1070	2673
286	1075	2672
287	1080	2671
288	1087	2674
289	1092	2675
290	1097	2673
291	1103	2675
292	1108	2675
293	1113	2673
294	1118	2673
295	1123	2673
296	1129	2673
297	1135	2674
298	1140	2674
299	1145	2673
300	1152	2676
301	1160	2682
302	1167	2686
303	1184	2711
304	1189	2709
305	1194	2708
306	1202	2714
307	1208	2714
308	1215	2717
309	1220	2716
310	1225	2714
311	1230	2713
312	1235	2711
313	1240	2710
314	1244	2707
315	1249	2703
316	1254	2703
317	1258	2699
318	1263	2696
319	1267	2692
320	1271	2690
321	1276	2688
322	1280	2684
323	1285	2681
324	1289	2677
325	1293	2673
326	1297	2670
327	1301	2666
328	1306	2664
329	1311	2662
330	1316	2661
331	1321	2657
332	1325	2654
333	1329	2651
334	1334	2649
335	1338	2645
336	1343	2642
337	1347	2639
338	1351	2635
339	1356	2633
340	1361	2630
341	1366	2628
342	1371	2626
343	1375	2622
344	1379	2618
345	1384	2616
346	1385	2608
347	1390	2604
348	1394	2602
349	1399	2598
350	1403	2595
351	1409	2594
352	1414	2591
353	1419	2589
354	1423	2585
355	1427	2581
356	1432	2579
357	1437	2577
358	1441	2574
359	1446	2571
360	1450	2566
361	1454	2563
362	1459	2560
363	1463	2556
364	1467	2553
365	1471	2549
366	1476	2546
367	1481	2543
368	1485	2539
369	1489	2535
370	1493	2532
371	1498	2529
372	1501	2524
373	1505	2520
374	1509	2516
375	1513	2511
376	1516	2506
377	1521	2503
378	1524	2498
379	1528	2494
380	1533	2491
381	1538	2488
382	1542	2484
383	1546	2481
384	1550	2476
385	1554	2471
386	1558	2468
387	1562	2464
388	1566	2459
389	1569	2455
390	1573	2451
391	1577	2446
392	1580	2441
393	1585	2437
394	1588	2433
395	1592	2428
396	1596	2424
397	1601	2421
398	1605	2417
399	1610	2415
400	1614	2411
401	1618	2407
402	1623	2405
403	1627	2400
404	1630	2395
405	1634	2391
406	1638	2387
407	1642	2382
408	1646	2379
409	1651	2376
410	1655	2372
411	1658	2367
412	1662	2363
413	1666	2358
414	1670	2354
415	1674	2350
416	1678	2346
417	1682	2342
418	1687	2339
419	1691	2335
420	1695	2331
421	1699	2327
422	1702	2322
423	1706	2318
424	1710	2314
425	1714	2310
426	1717	2305
427	1722	2301
428	1727	2299
429	1730	2294
430	1735	2290
431	1738	2286
432	1742	2281
433	1745	2276
434	1749	2272
435	1754	2268
436	1757	2264
437	1761	2260
438	1765	2255
439	1768	2250
440	1772	2246
441	1775	2241
442	1779	2237
443	1782	2232
444	1787	2228
445	1790	2224
446	1794	2220
447	1799	2217
448	1802	2212
449	1806	2207
450	1810	2204
451	1814	2200
452	1818	2196
453	1822	2191
454	1826	2187
455	1830	2183
456	1833	2178
457	1837	2174
458	1840	2169
459	1844	2164
460	1847	2160
461	1851	2156
462	1855	2151
463	1858	2146
464	1862	2142
465	1865	2138
466	1869	2133
467	1872	2128
468	1876	2124
469	1880	2120
470	1883	2115
471	1887	2111
472	1891	2107
473	1894	2102
474	1897	2097
475	1901	2093
476	1905	2089
477	1908	2084
478	1912	2079
479	1916	2075
480	1919	2071
481	1922	2066
482	1926	2062
483	1930	2057
484	1933	2053
485	1936	2048
486	1940	2044
487	1944	2039
488	1947	2034
489	1951	2030
490	1954	2026
491	1957	2021
492	1961	2016
493	1964	2012
494	1968	2008
495	1972	2003
496	1976	1999
497	1980	1996
498	1984	1992
499	1989	1989
500	1995	1987
501	1998	1982
502	2003	1979
503	2007	1975
504	2010	1971
505	2014	1967
506	2019	1963
507	2022	1959
508	2026	1955
509	2030	1950
510	2033	1946
511	2037	1941
512	2041	1937
513	2045	1934
514	2048	1929
515	2052	1925
516	2056	1920
517	2059	1916
518	2063	1912
519	2067	1908
520	2070	1903
521	2073	1899
522	2077	1894
523	2081	1890
524	2085	1886
525	2088	1882
526	2092	1878
527	2095	1873
528	2099	1869
529	2103	1865
530	2106	1860
531	2110	1856
532	2113	1852
533	2117	1847
534	2120	1843
535	2124	1839
536	2127	1834
537	2131	1830
538	2135	1826
539	2138	1821
540	2142	1817
541	2146	1813
542	2149	1809
543	2153	1804
544	2157	1801
545	2161	1797
546	2165	1793
547	2169	1789
548	2173	1785
549	2176	1781
550	2180	1776
551	2185	1773
552	2188	1769
553	2192	1765
554	2197	1762
555	2201	1758
556	2205	1754
557	2209	1749
558	2213	1746
559	2217	1741
560	2220	1737
561	2225	1734
562	2229	1730
563	2233	1726
564	2236	1722
565	2240	1717
566	2243	1713
567	2257	1717
568	2261	1712
569	2264	1708
570	2267	1703
571	2271	1699
572	2275	1695
573	2279	1691
574	2282	1687
575	2286	1683
576	2290	1678
577	2293	1674
578	2298	1670
579	2301	1666
580	2305	1662
581	2309	1658
582	2312	1654
583	2316	1649
584	2319	1645
585	2323	1641
586	2327	1637
587	2330	1633
588	2334	1629
589	2338	1624
590	2341	1620
591	2344	1616
592	2349	1612
593	2354	1609
594	2359	1605
595	2362	1601
596	2366	1597
597	2370	1593
598	2373	1589
599	2377	1585
600	2381	1580
601	2384	1576
602	2387	1572
603	2391	1568
604	2395	1563
605	2399	1560
606	2403	1556
607	2407	1552
608	2410	1547
609	2414	1543
610	2418	1539
611	2422	1535
612	2425	1531
613	2430	1527
614	2433	1523
615	2437	1519
616	2440	1515
617	2444	1510
618	2447	1506
619	2450	1502
620	2455	1498
621	2459	1494
622	2462	1490
623	2466	1486
624	2470	1482
625	2473	1477
626	2477	1473
627	2480	1469
628	2484	1465
629	2488	1461
630	2493	1457
631	2496	1453
632	2499	1449
633	2503	1445
634	2507	1441
635	2510	1436
636	2514	1432
637	2518	1428
638	2522	1425
639	2526	1420
640	2529	1416
641	2533	1412
642	2537	1408
643	2541	1404
644	2545	1400
645	2549	1396
646	2552	1392
647	2556	1388
648	2560	1384
649	2564	1380
650	2568	1376
651	2572	1372
652	2575	1368
653	2579	1364
654	2583	1360
655	2587	1356
656	2591	1352
657	2596	1349
658	2600	1345
659	2603	1341
660	2608	1337
661	2612	1333
662	2616	1329
663	2620	1326
664	2624	1322
665	2628	1318
666	2633	1314
667	2637	1310
668	2641	1306
669	2645	1303
670	2650	1299
671	2654	1295
672	2658	1291
673	2662	1287
674	2666	1283
675	2670	1280
676	2674	1276
677	2678	1272
678	2682	1268
679	2687	1264
680	2691	1260
681	2695	1256
682	2699	1252
683	2703	1248
684	2707	1244
685	2713	1242
686	2717	1237
687	2721	1234
688	2725	1230
689	2728	1225
690	2732	1221
691	2736	1217
692	2740	1213
693	2744	1210
694	2748	1206
695	2752	1202
696	2756	1198
697	2760	1194
698	2765	1190
699	2769	1186
700	2773	1182
701	2777	1179
702	2781	1175
703	2785	1171
704	2788	1167
705	2792	1162
706	2796	1158
707	2800	1155
708	2804	1151
709	2808	1147
710	2812	1143
711	2816	1139
712	2819	1135
713	2824	1131
714	2828	1127
715	2831	1123
716	2835	1119
717	2840	1115
718	2843	1111
719	2847	1107
720	2851	1103
721	2855	1099
722	2858	1095
723	2862	1091
724	2866	1087
725	2869	1083
726	2873	1079
727	2877	1075
728	2881	1071
729	2884	1066
730	2888	1063
731	2892	1059
732	2896	1054
733	2900	1051
734	2903	1047
735	2907	1043
736	2911	1038
737	2915	1034
738	2918	1030
739	2922	1026
740	2926	1022
741	2929	1018
742	2933	1014
743	2936	1010
744	2940	1006
745	2944	1002
746	2947	998
747	2950	994
748	2954	990
749	2957	985
750	2961	981
751	2965	977
752	2968	973
753	2971	969
754	2975	965
755	2979	961
756	2982	957
757	2985	953
758	2989	949
759	2993	945
760	2997	941
761	3001	937
762	3005	933
763	3009	929
764	3013	925
765	3017	921
766	3020	917
767	3024	913
768	3028	909
769	3031	905
770	3034	901
771	3038	897
772	3042	893
773	3045	889
774	3049	885
775	3052	881
776	3056	877
777	3059	873
778	3062	868
779	3066	864
780	3070	860
781	3073	856
782	3076	852
783	3080	848
784	3084	844
785	3087	840
786	3091	836
787	3094	832
788	3098	828
789	3101	824
790	3105	820
